medication,species,label_status,condition_keywords,indication,guardrail
"Carprofen (Rimadyl)","dog","FDA-approved veterinary label","osteoarthritis;arthritis;joint pain;hip dysplasia;postoperative pain;post surgical pain","Carprofen (Rimadyl) is labeled for control of pain and inflammation associated with osteoarthritis and for control of postoperative pain following soft tissue and orthopedic surgery in dogs.","NSAID: do not combine with other NSAIDs or steroids; requires baseline bloodwork and periodic monitoring; confirm dosing and suitability with your veterinarian."
"Meloxicam","dog;cat","FDA-approved veterinary label","osteoarthritis;arthritis;joint pain;postoperative pain;inflammation","Meloxicam is labeled for control of pain and inflammation associated with osteoarthritis in dogs, and for control of postoperative pain and inflammation following surgery in cats as a single dose.","NSAID: repeated dosing in cats carries added kidney risk and label restrictions differ by species; confirm dosing and suitability with your veterinarian."
"Galliprant (grapiprant)","dog","FDA-approved veterinary label","osteoarthritis;arthritis;joint pain","Galliprant is labeled for the control of pain and inflammation associated with osteoarthritis in dogs.","NSAID (piprant class): not labeled for cats; confirm dosing and suitability with your veterinarian."
"Deracoxib (Deramaxx)","dog","FDA-approved veterinary label","osteoarthritis;arthritis;joint pain;postoperative pain;post surgical pain","Deracoxib (Deramaxx) is labeled for control of postoperative pain and inflammation, and for control of pain and inflammation associated with osteoarthritis, in dogs.","NSAID: do not combine with other NSAIDs or steroids; confirm dosing and suitability with your veterinarian."
"Firocoxib (Previcox)","dog","FDA-approved veterinary label","osteoarthritis;arthritis;joint pain;postoperative pain;post surgical pain","Firocoxib (Previcox) is labeled for control of pain and inflammation associated with osteoarthritis, and for control of postoperative pain associated with orthopedic surgery, in dogs.","NSAID: not labeled for cats; confirm dosing and suitability with your veterinarian."
"Robenacoxib (Onsior)","cat","FDA-approved veterinary label","postoperative pain;post surgical pain;inflammation","Robenacoxib (Onsior) is labeled for the control of postoperative pain and inflammation associated with soft tissue surgery, orthopedic surgery, or dental procedures in cats, for a short course.","NSAID: labeled only for short-duration use in cats; confirm dosing and suitability with your veterinarian."
"Oclacitinib (Apoquel)","dog","FDA-approved veterinary label","itching;pruritus;allergic dermatitis;atopic dermatitis;allergies","Apoquel is labeled for the control of pruritus associated with allergic dermatitis and the control of atopic dermatitis in dogs.","Not labeled for dogs under 12 months old or for use in cats; confirm suitability with your veterinarian."
"Lokivetmab (Cytopoint)","dog","FDA-approved veterinary label","itching;pruritus;allergic dermatitis;atopic dermatitis;allergies","Cytopoint is labeled for the reduction of clinical signs associated with atopic dermatitis, including pruritus, in dogs.","Given as a veterinary-administered injection; confirm suitability and timing with your veterinarian."
"Cyclosporine (Atopica)","dog;cat","FDA-approved veterinary label","atopic dermatitis;allergic dermatitis;chronic itching;allergies","Atopica (cyclosporine) is labeled for the control of atopic dermatitis in dogs and cats.","Suppresses the immune system; requires veterinary monitoring for infection risk; confirm dosing with your veterinarian."
"Diphenhydramine (Benadryl)","dog;cat","Extra-label (human-labeled drug) used under veterinary direction","mild allergic reaction;hives;itching;insect bite;allergies","Diphenhydramine is commonly used under veterinary direction for mild allergic reactions, hives, and itching in dogs and cats, though it is labeled for human use, not for animals.","Confirm dosing with your veterinarian; some combination human products contain other ingredients, like decongestants, that are unsafe for pets."
