department,urgency,keywords,explanation,guardrail
"General Practice","routine","general checkup;wellness;annual exam;vaccination;mild symptoms;not sure;checkup","General practice can evaluate common or non-specific symptoms and refer onward if needed.","This is a general starting point; a doctor will confirm the actual issue during the visit."
"Surgery","urgent","wound;laceration;hernia;foreign object;swallowed object;bloated abdomen;torn nail;deep cut","These symptoms often require a surgical evaluation.","Only a hands-on exam can confirm whether surgery is actually needed."
"Dentistry","routine","bad breath;drooling;wont chew;broken tooth;swollen gums;dental;tooth pain;mouth pain","Oral symptoms are best evaluated by dentistry.","Dental pain can be more serious than it looks; do not delay if your pet stops eating."
"Dermatology","routine","itching;scratching;rash;hot spot;hair loss;skin;fur loss;flaky skin;red skin","Skin and coat symptoms are best evaluated by dermatology.","Persistent scratching can also signal pain elsewhere and not just a skin issue."
"Emergency","emergency","seizure;seizures;collapse;collapsed;unconscious;unresponsive;difficulty breathing;cant breathe;cannot breathe;choking;heavy bleeding;uncontrolled bleeding;hit by car;poison;poisoned;toxic ingestion;straining to urinate","These symptoms can be life-threatening.","Do not wait for a scheduled appointment; contact an emergency vet immediately."
"Cardiology","urgent","coughing;fainting;exercise intolerance;rapid breathing;pale gums;heart murmur;short of breath","Coughing and fainting episodes can point to a heart-related issue.","Breathing or fainting episodes can escalate quickly; seek care promptly."
"Orthopedics","routine","limping;wont jump;stiff;joint pain;favoring a leg;cant put weight;lameness","Limping and joint stiffness are usually orthopedic in nature.","Avoid strenuous activity until a vet has evaluated the leg or joint."
"Oncology","urgent","lump;tumor;mass;growth;swelling that wont go away","New lumps or growths should be evaluated to rule out something serious.","Not every lump is cancer, but only testing can tell; do not wait too long to get it checked."
"Neurology","urgent","wobbly;stumbling;head tilt;circling;tremors;disoriented;uncoordinated","These are classic neurological symptoms.","Sudden neurological changes should be seen quickly even if they seem to resolve."
"Ophthalmology","routine","eye discharge;red eye;squinting;cloudy eye;eye redness;pawing at eye","Eye symptoms are best handled by ophthalmology to protect vision.","Eye injuries can worsen fast; do not wait if the eye looks painful or cloudy."
"Rehabilitation","routine","recovering from surgery;mobility issues;slow to heal;muscle weakness;post surgery;physical therapy","Rehabilitation supports recovery and mobility after injury or surgery.","Rehab plans should be coordinated with whichever vet handled the original issue."
"Behavior","routine","aggression;anxiety;wont stop barking;hiding;destructive;behavior change;acting strange","Sudden behavior changes are often evaluated by behavior specialists.","Sudden behavior changes can also be a symptom of physical pain or illness and not just behavioral."
"Internal Medicine","routine","vomiting;diarrhea;weight loss;lethargy;not eating;loss of appetite;excessive thirst;excessive urination;tired","These general or systemic symptoms are usually evaluated by internal medicine first.","This is a broad starting point; persistent symptoms need an in-person workup."
"Radiology","routine","needs xray;possible fracture;swallowed something;imaging;broken bone","These symptoms typically require imaging to help diagnose.","Imaging alone does not replace a full exam and follow-up care."
